127.0.0.1 - - [27/Aug/2026:15:11:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:11:57 +0530] "GET /JSP_API/Directive%20Tags/Include.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:11:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:12:32 +0530] "GET /JSP_API/Directive%20Tags/Include.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:02 +0530] "GET /JSP_API/Directive%20Tags/Include.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:03 +0530] "GET /JSP_API/Directive%20Tags/Include.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:09 +0530] "GET /JSP_API/Directive%20Tags/Include.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:10 +0530] "GET /JSP_API/Directive%20Tags/Include.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:44 +0530] "GET /JSP_API/index.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:48 +0530] "GET /JSP_API/index.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2026:15:13:49 +0530] "GET /JSP_API/index.jsp HTTP/1.1" 200 255
